obs_id,name,entry_status,mp_year,other_docs,net_ids,country,region,subregion,num_areas,num_nt_areas,size,nt_size,protection,network,cc_threat,cc_ap,cons_obj,sp_vs_unit,sp_feat,unit_feat,cc_obj,obj_details,cc_va,other_assess,va_action,va_details,des_net,des_cc,des_res,sci_monitor,social_monitor,cc_monitor,cc_monitor_det,adap_man,adap_design,mp_time,work_plan,am_det,int_man,cc_actions,act_type,act_motive,Notes
19,Port Honduras Marine Reserve,Other Docs NR,2012,"Maya Mountain Marine Corridor Conservation Action Strategy (2008?), National Protected Areas System Plan, Southern Belize Reef Complex Plan?",NA,Belize,Atlantic,Caribbean,1,1,393,13.2,Zoning,"Belize National Representative System of Protected Areas, Southern Belize Reef Complex?",Yes,Yes,Yes,Both,"Conch, lobster, commercial finfish, recreational species, sea cucumber, sharks, turtles, migratory birds, manatees, juvenile fish and invertebrates, dolphins, wahles, sharks","Coral reef communities, mangroves and littoral forests, sandy beaches, seagrass beds",Explicit,"Each feature has an associated goal and indicators (e.g. for coral reefs - return system to a healthy state; measured by % cover, % macroalgae, reef fish density). For climate change, there is an explicit management goal and strategies - identify resilient coral species, recruitment sources, ensure herbivore protection, reduce cumulative anthropogenic local threats, monitor climate change effects.",NS,NS,NS,NS,No,Emphasize general resilience principles?,"Yes - Conservation zones encompass examples of all representative habitats, provide habitats for threatened species, also used monitoring program to justify increase in area of no-take zone (to 15%) to follow recommended design principles","Ongoing: Water quality (temp, salinity, dissolved oxygen, conductivity, turbidity), Weather station parameters (air temp, rain, weather, wind, humidity, pressure), spiny lobster and conch surveys before and after closed season, benthic cover, coral health, reef fish, seagrass beds, mangrove commnity structure and productivity, sea turtle in-water and nesting programs, habitat mapping; Planned: sediment content, sea bird monitoring, West Indian manatee sightings, sea cucumber monitoring",fisheries stock assessments for all finfish/conch/spiny lobster using catch landings,Explicit,"Emphasizing establishing adequate baseline information for monitoring targets for climate change adaptation and limits of acceptable change, continuing to add monitoring for climate change, integrating climate change into research priorities, identifying areas with/without resilience to climate change",Yes,Zoning,5,1,"Updates to strategies and activities to reflect socioeconomic and biodiversity changes, also updates to zoning based on monitoring (increased percentage covered in no-take zone, and its diameter), annual review of MP with comprehensive implementation 5-year plan",Yes,Yes,,,
120,Sistema Arrecifal Veracruzano,Complete,2017,,,Mexico,Atlantic,Gulf of Mexico,1,2,640,11,Zoning - 2 NT core areas,"NS, Mexico National System?",Yes,Yes,Yes,NR,NR,NR,Explicit,"Reduce vulnerability of ecosystems, increasing ability to adapt to CC, conduct VA and incorporate strategies to reduce CC impacts; monitor GHG emissions, establish CC and environmental database",Planned,NS,Planned,Conduct VA in zone of influence and incorporate adaptation measures and actions to reduce impacts; manage development of local risk atlas and protocols for extreme events,NS,NS,"Yes - Subzoning based on indicators of conservation status (biodiversity, coral cover, fish abundance, indices of diversity/richness, scleractinian coral density per square meters)",Yes,Yes,Explicit,"Promote monitoring of relevant variables; database with meteorological, economic, environmental info",Yes,Zoning,NS,1,"MP will be 'reviewed and updated', annual work plans, adaptive zoning!",Yes,Yes,"FR, GO, AZ, IP, CO, IS, HR",Yes,
77,Kermadec and Subantarctic Islands,Complete,2017,,,New Zealand,Southern,NA,3,3,7550,7550,NT - Additional zoning,NS,Yes,No,Yes,Both,"Extensive - unique, rare, threatened species, algae, corals, herbivorous fish, spotted black grouper, seabirds, cetaceans","Geologic sites, cultural sites, ""natural character"" - which includes all processes/elements/patterns, indigenous biological diversity",No,NA,NS,NS,NS,NS,NS,NS,NS,NS,NS,Implicit,Daily weather balloon (not explicitly for CC),NS,NS,NS,NS,NS,NS,Yes,,,
147,Reserva Biosfera Banco Chinchorro,Complete,2000,,,Mexico,Atlantic,Caribbean,1,1,1436,45,Zoning - 1 NT core zone,,No,NA,NR,NR,NR,NR,No,NA,NS,NS,NS,NS,NS,NS,NS,Yes,Yes,Implicit,Implementing rapid assessments for the state of conservation values; monitoring instances of coral bleaching and other diseases,Yes,Zoning,5,1,"Annual review, update every 5 years",Yes,Yes,"HR, IS",No,
79,Florida Keys National Marine Sanctuary,Complete,2007,US National Action Plan to Conserve Coral Reefs,,United States,Atlantic,Caribbean,1,24,9723,519,"Zoning - Ecological Reserves (3, DRTO covering 470km and WS 30km) and Special Preservation Areas/Special Research Areas (21 covering 19 km)",Florida Keys Marine Sanctuaries,Yes,No,NR,NR,NR,NR,No,NA,NS,NS,NS,NS,NS,Adaptive zoning - not explicit for cc,NS,Extensive,"Use patterns, economic and non-economic values; ongoing research project of socoieconomic impacts of climate change and coral bleaching",Implicit,Monitoring to establish baselines and track changes over time,Yes,,5,,Update strategies based on monitoring,Yes,Yes,,,
34,Namuncurá - Banco Burdwood,Complete,2016,,,Argentina,Atlantic,South,1,1,30757,8450,"Zoning - Core and Buffer Zones are completely no-take, also Transition Zone",Sistema Nacional de Areas Marinas Protegidas (Argentina),Yes,No,Yes,Both,"Endemic species, Deep-water corals, demersal fish of commercial interest (mainly notothenids and toothfish)","High biodiversity, Ecosystem engineers, migratory corridors, fish spawning and nursery areas, nutrient supply and high productivity areas",No,"Conservation values and threats listed, actions geared toward protecting the conservation values, but not exactly written as objectives",NS,NS,NS,NS,No,Buffer/transition zone - but not explicitly stated for climate change,Yes - Buffer zone around core zones,"Plankton, Water Column, Benthic Community",NS,Explicit,"Plan to ""monitor impacts of global change""",Yes,Zoning,6,2,"Includes considerations for updating zoning - one current possibility is changing the transition zone, since it has more abundance of coral and higher diversity of species than other areas",Yes,NS,,,
81,Molokini Shoal,Complete,2014,,,United States,Pacific,Central,1,1,0.282,0.282,Zoning - Subzone A (inside the curve of the islet) is NT,NS,No,NA,Yes,Both,Apex predators,Coral reefs,No,NA,NS,NS,NS,NS,NS,NS,NS,"Coral reef monitoring (natural community structure, size/composition of coral species, fish assemblages), apex predator biomass","Place-based nature experience status - absence of conflict, quality/accessibility of moorings, knowledge of names/history, number of botes",Implicit,NS,Yes,,NS,NS,NS,NS,Yes,,No,
64,Helen Reef Conservation Area,Complete,2011,,,Palau,Pacific,Central,1,1,70.2,70.2,"Zoning - Zone 1 is no take, subsistence fishing allowed in zone 2",Palau Protected Area Network,Yes,Planned,No,NA,NA,NA,Explicit,Objectives to include adaptation in management through developing climate adaptation plan (but FYI this was back in 2012),NS,NS,NS,NS,No,NS,NS,"coral cover, commercial fish and invertebrates, turtles, substrate type, birds population census annnually",perception,NS,NS,Yes,Zoning,5,3,Adaptive zoning reviewed every 3 years,Yes,NS,,,
94,Mafia Island Marine Park,Complete,2011,,,Tanzania,Indian,NA,1,6,628,7,"Zoning - 6 ""Core Zones"" NT",NS,No,NA,Yes,Both,NR,NR,No,NA,NS,NS,NS,NS,NS,NS,NS,ID,ID,NS,NS,Yes,Zoning,10,5,5-year interim review and 10-year Major Review,NS,Yes,"AZ, HR",No,
23,The Gully Marine Protected Area,Complete,2017,"Gully MPA Ecosystem Monitoring Plan 2010 (Reviewed), Gully MPA 10 Years of Progress (Skimmed), National Framework for Canada's Network of MPAs, Scotian Shelf Bioregional Oceans Plan (Reviewed)",,Canada,Atlantic,North,1,1,2363,475,Zoning (Zone 1 is no-take),"National System of Protected Areas, Scotian Shelf Bioregional Network",Yes,No,Yes,Both,"Cetaceans (endangered northern bottlenose whale, other whales and dolphins)","Water quality, sediments, seafloor habitat",Implicit,Objectives focus on maintaining water and habitat quality ,NS,NS,NS,NS,Planned,Potential for future zone revisions to address issues to sensitive benthic areas (though does not explicitly mention this in relation to climate change),Yes - Buffer zone (2-3) around core zone (1),"Cetaceans (use, size, age, sex structure, genetic diversity, scars, blubber contaminant levles, presence and activity, strandings, strikes, entanglements), Seafloor habitat and benthic communities (corals, diversity, proportion live/dead, overgrwoth of zooanthid), relative abundances and distributions of groundfish/mesopelagic nekton and trap- or longline-vulnerable species, water quality and sedimentation (temp, salinity, oxygen concentration, alkalinity, pH, light levels, chlorophyll pigments, nutrients in waters, physical and biological properties, wind and weather conditions (direction, speed, air pressure, sea level air temperatures, SST, wave height, dominant wave period, distribution and movement of water, phytoplankton production and community composition, zooplankton biomass and composition, seabirds","Vessel transits, hours of operation, commercial fishing effort close to boundary and within MPA, unauthorized fishing, amount of discarded or removed organisms/bycatch, seabed disturbance, offshore petroleum exploration and development, discharge....",Implicit,"Not explicitly stated, but water quality and weather indicators are comprehensive for identified threat of changes to climatic conditions/acidification",Yes,Zoning,5,,Based on monitoring,Yes,Yes,,,
6,Chumbe Island Reef Sanctuary,Other Docs NR,2017,Tanzania Marine Reserves Strategic Plan 2014-2019 (NR),NA,Tanzania,Indian,West,1,1,0.617,0.617,NT,NS,Yes,No,Somewhat,Both,NR,NR,Explicit,"Plan highlights core habitats and species but these are not directly and thoroughly linked to conservation objectives and actions; Objectives primarily focused on tracking coral bleaching, which is acknowledged to be linked to climate change and increased sea surface temperatures. Monitoring indicators include live coral cover, bleaching incidence, sea surface temperature, disease, algae/urchins, and fish biomass. Marine conservation desired outcome: ""Marine area is maintained against impacts from COTS and SST increases caused by climate change""",NS,NS,NS,NS,No,NS,NS,"Coral cover and bleaching, algae cover, urchins, fish biomass, sea surface temperatures, marine megafauna observations (sharks, mammals, turtles), crown of thorns density, seagrass, water quality (pH, nutrients)","Attempted fishing, spillover, ",Explicit,Direct monitoring through coral bleaching program; indirect through water quality monitoring ,Yes,,10,1,,Yes,NS,,,
17,Nijhum Dweep (Nijhum Dwip) National Park,Complete,2014,,NA,Bangladesh,Indian,Bay of Bengal,1,1,103,103,"Zoning - Listed as completely no take, but MP outlines fishing/take occurs in certain zones and illegally",NS,Yes,No,Somewhat,Both,Migratory bird species,Crucial habitats,No,NA,NS,NS,NS,NS,No,NS,NS,"Abundance and density of burds in mangroves and cultivated areas, mammals, vegetation cover (and succession), rainfall, temperature, salinity, erosion, water quality","Patrolling, arrests, confiscations, awareness events, revenue collection, consultations, services",Implicit,NS,Yes,,5,1,"Based on monitoring; annual review of operation plans, five year work plan, overall review 5 years",Yes,Yes,,,
37,Pieh Island Tourism Park (Taman Wisata Perairan Pulau Pieh dan Laut di Sekitarnya),Complete,2014,MP Book II (Work Plan) NF,,Indonesia,Pacific,West,1,5,371,8.0159,"Zoning - 5 NT areas, buffer zone",Perairan Nasional Pekanbaru,Yes,No,No,Both,"Rare, flagship","Rare, flagship",No,Regional strategy is focused on protection for resilience to climate change ,NS,NS,NS,NS,NS,NS,Somewhat - zoning to protect critical areas,NS,NS,NS,NS,Yes,,5,1,Annual regional strategies,Yes,NS,,,Plan outlines general goals and actions but lacks specifics 
38,Anambas Islands (KKPN Kepulauan Anambas dan laut Sekitarnya),Complete,2014,MP Book II (Work Plan) NF,,Indonesia,Pacific,West,1,26,12609,303,Zoning - 26 no-take areas,Perairan Nasional Pekanbaru,No,NA,No,Both,"Rare, flagship","Coral reefs, sea grass",No,Regional strategy is focused on protection for resilience to climate change ,NS,NS,NS,NS,NS,NS,Somewhat - zoning to protect critical areas,ID,ID,NS,NS,Yes,,5,1,Annual regional strategies,Yes,NS,,,Plan outlines general goals and actions but lacks specifics 
89,South Water Caye Marine Reserve,Complete,2010,,,Belize,Atlantic,Caribbean,1,2,470,89.9,"Zoning - 1 NT conservation zone, 1 NT preservation zone",Belize Barrier Reef Protected Area System,Yes,No,Yes,Both,System level targets with additional nested targets,System level targets with additional nested targets,Explicit,"Each feature has an associated goal and indicators (e.g. for coral reefs - return system to a healthy state; measured by % cover, % macroalgae, reef fish density). For climate change: ""By 2015 at least 50% of coral reefs and mangroves resilient to climate change located within the SBRC will be effectively protected.""",NS,NS,NS,NS,NS,NS,NS,Extensive,"Tourism impacts, fisheries",Explicit,"Emphasizing establishing baselines, monitoring for climate change effects (e.g. coral bleaching) and other indicators",Yes,,5,,,Yes,Yes,"HR, IS, IP",No,
90,Glover's Reef Marine Reserve,Complete,2008,,,Belize,Atlantic,Caribbean,1,1,326,73.5,"Zoning - Conservation Zone is (nearly) NT (subsistence fishing under review?), Wilderness Zone (aka preservation zone) is NT",Belize Barrier Reef Protected Area System,Yes,No,Yes,Both,System level targets with additional nested targets,System level targets with additional nested targets,Implicit,Each feature has an associated goal and indicators,NS,NS,NS,NS,NS,NS,NS,Extensive,"Socioeconomic factors, tourism, fishing",Explicit,"Monitor climate effects (e.g. coral bleaching), continuous meteorological data, emphasis on long-term monitoring program",Yes,,5,,,Yes,Yes,HR,No,
91,Halfmoon Caye and Blue Hole Natural Monuments,Complete,2008,,,Belize,Atlantic,Caribbean,2,2,43,43,"2 NT areas, Zoning (including buffer zone) to restrict other uses",Belize Barrier Reef Protected Area System,Yes,No,Yes,Both,NR,NR,No,NA,Planned,NS,NS,Strategy to partner with institution for vulnerability,NS,NS,NS,Yes,"Yes - fishing, tourism (number of visitors, number of boats)",Implicit,Monitoring water quality and habitat health,Yes,,5,,,Yes,Yes,"IS, TO, HR",No,
92,Hol Chan Marine Reserve,Complete,2000,,,Belize,Atlantic,Caribbean,1,1,50.7,5,Zoning - Zone A is NT,Belize Barrier Reef Protected Area System,Yes,No,No,NA,NA,NA,No,NA,NS,NS,NS,NS,NS,NS,NS,Extensive,"Tourism perspective, use, negative impacts",Explicit,"Monitor sea level rise, meteorological data for climatic studies; coral reef changes over time or differences among reef communities",NS,NS,NS,NS,NS,Yes,Yes,TO,No,
93,Dar es Salaam Marine Reserve,Complete,2005,,,Tanzania,Indian,NA,4,4,30.2,30.2,Zoning,NS,Yes,No,Yes,Both,NR,NR,Implicit,"Objectives include determining status and trends of conservation features and evolving threats, building resilience",NS,NS,NS,NS,NS,NS,NS,Yes,Prohibited activity,Implicit,"Monitoring natural and anthropogenic threats to the biological communities (including coral bleaching, sedimentation, pollution), quantify changes over time",Yes,,NS,NS,NS,NS,NS,NA,NA,
40,Nusa Penida (KKP Nusa Penida),Complete,2012,MP Book II (Work Plan) NF,,Indonesia,Pacific,West,1,3,196,1.2,Zoning - 3 core no-take areas,NS,No,NA,Yes,Both,"Distinct and unique marine life: Napoleon, whales, sharks, mola-mola, rays, turtles, dugong, dolphins","Ecosystems and habitats - coral reefs, seagrass beds, mangroves",No,NA,NS,NS,NS,NS,NS,NS,Somewhat - zoning to protect critical areas,"Planned but not yet implemented - coral, fish, mangroves, mola mola, manta rays, dugong, whales, sharks, fish spawning","In development - fishery, tourism",NS,NS,Yes,,5,1,Annual work plan,Yes,Yes,,,
95,Flamborough Head,Complete,2016,,,United Kingdom,Atlantic,North Sea,1,1,60,1,Zoning - 1 NT area,UK System?,Yes,No,No,NA,NA,NA,No,NA,NS,NS,NS,NS,NS,NS,NS,Yes,Yes - fishers/tourism,NS,NS,Yes,,5,,,Yes,Yes,General,Yes,"Notes aiming to ""reduce other stressors"" to reduce cumulative impacts of climate change; does not provide specifics"
96,Lundy Marine Area,Complete,2017,,,United Kingdom,Atlantic,East,1,1,30,3,Zoning - 1 NT area,UK System?,Yes,No,Yes,Both,NR,NR,Explicit,"Monitor habitats/species, especially changes caused by climate change",NS,NS,NS,NS,NS,NS,NS,Yes,Yes,Explicit,Investigate potential changes to subtidal fauna and flora which may be expected under current climate change predictions.,Yes,,5,,,Yes,Yes,IS,Yes,
97,"Gibraltar - Eastern, Rosia",Complete,2017,,,Gibraltar,Atlantic,Alboran Sea,1,2,55,4,"Zoning - several NT areas listed, but not specifically defined in MPA atlas; Eastern and Rosia listed as ""partially NT""",NS,No,NA,Yes,Both,NR,NR,Implicit,"comprehensive water quality monitoring programme which includes benthic invertebrate, fish tissue and sediment quality monitoring",NS,NS,NS,NS,NS,NS,NS,Yes,Yes,Implicit,"Water quality, changes, ecological surveys to determine status changes - especially 'sensitive species'; for particle sizes on beaches, ""Average PSA parameters i.e. should not deviate significantly from established baseline, subject to natural change""",Yes,,NS,,Conservation measures reviewed monthly; MP review NS,Yes,Yes,"HR, IS, MD",No,
98,Estação Ecológica Tupininquins,Complete,2008,,,Brazil,Atlantic,West,4,4,16.7,16.7,Zoning - NT,NS,No,NA,Yes,Both,NR,NR,No,NA,NS,NS,NS,NS,NS,NS,NS,Yes,Yes,NS,NS,Yes,Zoning,5,NS,Recovery Zone - 'provisional' zone for heavily influenced areas that will be reincorporated into the permanent zones once retored,Yes,Yes,IS,No,
99,Parque Nacional De Jericoacoara,Complete,2011,,,Brazil,Atlantic,West,1,1,25,25,Zoning - NT,NS,No,NA,Yes,NR,NR,NR,No,NA,NS,NS,NS,NS,NS,NS,NS,Yes,Yes,NS,NS,Yes,Zoning,5,NS,Recovery Zone - 'provisional' zone for heavily influenced areas that will be reincorporated into the permanent zones once retored,Yes,NS,NA,NA,
114,Reserva Biosfera Arrecife Alacranes,Complete,2006,,,Mexico,Atlantic,Gulf of Mexico,1,1,3337,316,Zoning - Core and Buffer,"NS, Mexico National System?",Yes,No,Yes,NR,NR,NR,No,NA,NS,NS,NS,NS,NS,NS,Used GIS to identify most important habitat types/resources for zoning,"Focus on developing baselines and indicators for ecosystems and species of interest, changes resulting from management activities (e.g. eradication, recovery, restoration)","Use (visitors, boats, divers), impact and damage, social and economic impacts,",Implicit,Emphasis on long-term monitoring to establish baselines and detect long-term changes; developing indicators ,Yes,,NS,1,"MP will be 'reviewed and updated', annual work plans",Yes,Yes,"HR, MD, FR",Yes,
101,Parque Nacional Marinho Dos Abrolhos,Complete,1991,,,Brazil,Atlantic,West,2,2,878,878,Zoning - NT,NS,No,NA,No,NA,NA,NA,No,NA,NS,NS,NS,NS,NS,NS,NS,Yes,Yes,NS,NS,Yes,Zoning,5,NS,Recovery Zone - 'provisional' zone for heavily influenced areas that will be reincorporated into the permanent zones once retored,Yes,Yes,IS,No,
102,Reserva Biológica Atol Das Rocas,Complete,2007,,,Brazil,Atlantic,West,1,1,350,350,Zoning - NT,NS,Yes,No,Yes,NR,NR,NR,No,NA,NS,NS,NS,NS,NS,NS,NS,Yes,Yes,Explicit,Establishing monitoring of climate related variables; notes importance of location as a priority area for climate change monitoring,Yes,,5,,,Yes,NS,NA,NA,
103,Reserva Biológica De Comboios,Complete,1997,,,Brazil,Atlantic,West,1,1,0.344,0.344,Zoning - NT,NS,No,NA,No,NA,NA,NA,No,NA,NS,NS,NS,NS,NS,NS,NS,ID,ID,Implicit,Establishing monitoring of climate related variables,Yes,,NS,NS,"Discusses various phases of MP, timeline NS",Yes,NS,NA,NA,
60,Northern Reef Fisheries Management Project,Complete,2016,,,Palau,Pacific,Central,1,3,3887,172.9,"Zoning - 3 fully protected no-take zones, 7 other specially-managed areas",Palau Protected Area Network,Yes,No,No,NA,NA,NA,No,NA,NS,NS,NS,NS,Yes,Zoning to assess representation of key habitats - ensure protection of each in high-protected no-take zone. ,Yes,Size structure and density of targeted reef fish,"Compliance, catch",NS,NS,Yes,,3,1,Various reviews specified on 1-3year time intervals; ,Yes,NS,,,
105,South Georgia and South Sandwich Islands Marine Protected Area,Complete,2013,,,South Georgia,Southern,NA,1,5,1242510,309929,Zoning - 5 NT,NS,Yes,No,Yes,NR,NR,NR,Explicit,"""Increase the resilience of the marine environment to the effects of climate change""",NS,NS,NS,NS,NS,NS,NS,Yes,Yes (fisheries),NS,NS,NS,NS,NS,NS,NS,Yes,NS,NA,NA,
106,Jamaica's Protected Area System,Complete,2013,,,Jamaica,Atlantic,Caribbean,10,8,1833.5,56,Zoning - size based on country-level MPA Atlas,Jamaica Protected Area Network,Yes,Planned,NS,NR,NR,NR,Explicit,"Incorporate climate mitigation into management strategies; restore and rehabilitate habitats and ecosystems to conribute to buldling ecological networks, corridors, buffers",NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,Yes,,5,,,Yes,Yes,"IS, HR",Yes,
109,Bazaruto Marine Protected Area,Complete,2015,,,Mozambique,Indian,NA,1,1,1237,NS,Zoning,NS,Yes,No,Yes,Both,NR,NR,Implicit,Monitor status of conservation features with regards to defined limits of acceptable ecological change (planned),Planned,NS,Planned,Planned vulnerability assessment to climate change impacts,NS,NS,NS,Yes,Yes,Explicit,Planned to design projects to monitor climate change (relatively nonspecific),Yes,,10,,10-year MP review,Yes,Yes,HR,No,
56,Parque Nacional Cabo Pulmo,Complete,2006,,,Mexico,Pacific,East,1,1,70.4,70.4,Zoning - (Near) complete no-take - subsistence fishing for resident families allowed. MP lists subzone of sustainable use covering 45.7km2,"NS, Mexico National System?",No,NA,Yes,Both,"Target species, migratory species","Benthic habitats, habitats that support migratory species, fragile and sensitive areas, turtle nesting sites",No,NA,NS,NS,NS,NS,NS,NS,NS,"Abiotic parameters, hermatypic corals and coral fish, coral health and growth, ","Use (visitors, boats, divers), impact and damage, social and economic impacts,",Implicit,Emphasis on long-term monitoring to establish baselines and detect long-term changes; developing indicators ,Yes,,NS,1,"MP will be 'reviewed and updated', annual work plans",Yes,Yes,HR,No,
58,"Ngatpang System of Conservation Areas (Chiul Conservation Area, Olterukl Conservation Area, Oruaol Ibuchel Conservation Area)",Complete,2016,,,Palau,Pacific,Central,3,3,0.125,0.125,"Zoning - No-take, other uses restricted",Palau Protected Area Network,Yes,No,Somewhat,Both,"Fish, crab, stingray, manta ray, sharks, turtle, inverts, coastal and marine birds",Marine habitats,No,Listed as conservation targets,NS,NS,NS,NS,NS,NS,NS,In development; focus on establishing baselines and routine protocols,NS,Implicit,NS,Yes,,5,1,Annual work plans,Yes,NS,,,
62,Kayangel Protected Areas Network (Ngkesol Barrier Reef) ,Complete,2013,,,Palau,Pacific,Central,1,1,110,110,"Zoning - 1 no-take area, Ngkesol Barrier Reef",Palau Protected Area Network,Yes,No,Yes,Both,"Micronesian megapode, cocunut crab, red snapper, giant clams, trochus, green turtles","Coral reef system, lagoon system, large atoll forests",No,NA,NS,NS,NS,NS,Yes,"Protect ""desirable ecological assemblage so they remain resilient to future natural disturbances expected in a future, changing climate""",NS,ID,ID,NS,NS,Yes,,5,1,"Annual review, revision after 5 years",Yes,NS,,,
63,Ngarchelong Marine Managed Areas (Ebiil Channel Conservation Zone),Complete,2012,,,Palau,Pacific,Central,2,5,462,18,"Zoning - 5 no-take areas, other specially managed areas",Palau Protected Area Network,Yes,Yes,Yes,Both,"Economically valuable fish and invertebrates (groupers, wrasse, parrotfish, snapper, rabbitfish, unicorn and surgeonfish, emperorfish, giant clams, lobster, sea cucumbers, trochus, mangrove crab, mangrove clam), birds, reptiles","Seagrass beds, fish spawning aggregations and channels, coral communities, general marine biodiversity, mangrove and upland forests",No,NA,NS,NS,NS,NS,Yes,"Zone 5: Areas managed for coral replenishment, specific purpose for cliamte change resilience - protecting an area that rebounded from massive bleaching in 1998 more quickly than other areas, coral spawn helped other areas",NS,"populations of conservation targets (size, abundance, density, biomass), coral cover and recruitment, seagrass cover, mangroves TBD, dugong abundance, turtle abundance, protected species reports, ","economic welfare (policies passed, media targets), fisheries needs, cultural resources participation, perception, amount of monitoring plan implemented",Implicit,NS,Yes,,5,1,"Annual review, revision after 5 years",Yes,NS,,,
112,Area Naturale Marina Protetta Capo Caccia Isola Piana,Complete,2019,,,Italy,Mediterranean,NA,1,1,25.2,NS,NS,NS,No,NA,Yes,Both,Focal species listed,Focal habitats listed,No,NA,NS,Yes,NS,Assess vulnerability of sea caves with Scuba Trail Vulnerability Index,NS,NS,NS,Exensive,Tourism and fishing activity,Implicit,Especially mentions monitoring 'sensitive marine habitats',Yes,,NS,NS,NS,Yes,Yes,TO,No,
113,Area Naturale Marina Protetta Tavolara - Punta Coda Cavallo,Complete,2014,,,Italy,Mediterranean,Tyrrhenian Sea,1,1,152,5.29,NS,NS,Yes,No,Yes,Both,Focal species listed,Focal habitats listed,No,NA,NS,NS,NS,NS,NS,NS,NS,Exensive,Tourism and fishing activity,Implicit,Discusses monitoring impacts and species in areas of high disturbance,Yes,,NS,NS,NS,Yes,Yes,IS,No,
65,Medal Ngediull Conservation Area,Complete,2014,,,Palau,Pacific,Central,1,1,2.61,2.61,NT,Palau Protected Area Network,No,NA,Somewhat,Both,"Fish, invertebrates, seagrass, corals, mangroves",Biodiversity,No,NA,NS,NS,NS,NS,No,NS,NS,"coral, fish, seagrass, invertebrates, mangroves","perception, capacity",NS,NS,Yes,,5,1,Annual work plans,Yes,Yes,,,"Thorough plans for reducing land-based pollution, sediment runoff"
71,Tsitskikamma National Park,Complete,2008,,,South Africa,Indian,NA,1,1,290,290,NT,South Africa National Protected Areas,No,NA,No,NA,NA,NA,No,NA,NS,NS,NS,NS,"Planned - updates to zoning to consolidate areas focusing on under-represented ecosystems, functional linkages, and processes",NS,NS,NS,NS,NS,NS,Yes,,5,1,Annual and 5-year cycles,Yes,Yes,,,
72,Betty's Bay Marine Protected Area,Complete,2009,,,South Africa,Atlantic,South,1,1,20,NS,Shore-fishing allowed,South Africa National Protected Areas,Yes,No,Somewhat,Both,"Depleted, endangered, endemic species","Habitats important to species and populations, marine fisheries, representative ecosystems, biodiversity, ecological function",No,NA,NS,NS,NS,NS,NS,NS,NS,"Intertidal communities - species community structure, keystone and alien species abundance), surf zone fish community (CPUE and size of selected species), subtidal reef fish density, abalone density and size, west coast rock lobster density and size, seabird breeding pairs, cetacean sightings",NS,Explicit,"Indicators - sea temperature, weather (air temperature, wind speed and direction), reference to other scientific indicators for climate change (e.g. how changes in intertidal communities could be indicative of climate change)",Yes,,5,1,"Review annually for first three years (this is first MP), then every 5 years after that. Emphasis on monitoring and management feeding into the update process.",Yes,NS,,,
83,Saint Eustatius Marine Park,Complete,2007,,,Netherlands Antilles,Atlantic,Caribbean,1,2,23,5,"Zoning - 2 (near) NT marine reserves within 1 managed area, local fishermen returning from fishing are allowed to troll with a hook and line",NS,Yes,No,NR,NR,NR,NR,Implicit,Monitoring coral bleaching,NS,NS,NS,NS,NS,NS,NS,Yes,NS,Implicit,Monitoring coral bleaching,Yes,,4,1,"MP review 3-4 years, annual work plans",Yes,Yes,"IS, MD",No,
85,Caye Caulker Marine Reserve,Complete,2004,,,Belize,Atlantic,Caribbean,1,1,39,39,Zoning - conservation zone I and preservation zone are NT,Belize Barrier Reef Protected Area System,Yes,No,Yes,NR,NR,NR,No,NA,NS,NS,NS,NS,NS,"Protect high-risk shallow reef habitat; areas in ""mixed states"" of recovery",NS,ID,ID,Implicit,Developing program focusing on establishing baselines and long-term change,Yes,,5,1,"""Periodic reviews"" and annual work plans (NF)",Yes,Yes,HR,No,
57,Ongedechuul System of Conservation Areas (Ngermasech Conservation Area),Complete,2018,,,Palau,Pacific,Central,,2,4.12,4.12,"No-take (Ngermasech is 2.79, another no-take MPA)",Palau Protected Area Network,Yes,No,Somewhat,Both,"Mud clam, mangrove crab, fish, trochus, lobster, corals, clams, seagrass fish, sea cucumber, sea ruchin, dugong, marine turtles","Habitat systems: mangroves, coral reefs, seagrass; Ecosystem services - functions of habitats, buffer protection, balane ",No,"Particular objectives not stated, just listed as conservation values",NS,NS,NS,NS,NS,Natural refuge; potential for habitat transition with sea level rise in Ngermasech,Yes - connectivity,"Coral reef cover, mangrove vegetation profile, invertebrate species density, seagrass cover, wetland water level","Fish catch, income generated by fisheries, protected area income generated by residents from visitors",Implicit,NS,Yes,,5,1,Option to ammend annually but require 5-year update; Working towards monitoring to establish future action,NS,NS,,,Design: reduce coastal habitat squeeze?
100,Parque Nacional Do Cabo Orange,Complete,2010,,,Brazil,Atlantic,West,1,1,2269,2269,Zoning - NT,NS,No,NA,NR,NR,NR,NR,No,NA,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,Yes,,5,1,Annual review,Yes,NS,NA,NA,
