Table S5. Relevant explicit climate change details collected from each plan,,,,
Plan,Name,Component,Indicator,Strategy
79,Florida Keys National Marine Sanctuary,Objectives,Promote climate change research (or increase cc knowledge),"Ongoing project evaluating socioeconomic impacts of climate change and coral reef bleaching; strategy to conduct studies examining effects of climate change on organisms and ecosystems; Conduct special studies to document the fate and ecological impacts of non-wastewater pollutants,
develop innovative monitoring tools, and examine effects of global climate change on organisms and
ecosystems of the Keys."
79,Florida Keys National Marine Sanctuary,Management,Reduction of other threats linked to climate resilience,"However, additional human-induced stresses are likely affecting the ability of these organisms to adequately recover from climate
fluctuations; ""Reduced human impacts, as found in the sanctuary,

could be critical to the ability of corals to survive

climate change and disease."""
79,Florida Keys National Marine Sanctuary,Management,Reducing tourism pressure applied as climate strategy,"""Reduced human impacts, as found in the sanctuary,
could be critical to the ability of corals to survive
climate change and disease."""
80,He'ia National Estuarine Research Reserve (Moku-o-loe Island - Coconut Island),Climate,Discusses protection as climate mitigation strategy,"""Methane emissions from the He‘eia wetlands could exacerbate climate change impacts—wetlands are a natural source of methane, which is a greenhouse gas (Mitsch et al. 2013). However, tropical wetlands are predicted to function as a net carbon and radiative sink within the next 300 years and balance out the methane emissions (Mitsch et al. 2013). The He‘eia wetlands may also provide a natural flood buffer that accommodates sea-level rise without the need for additional hard armoring or other measures to protect upstream urban development (Codiga and Wager 2011). Therefore, the He‘eia wetlands may increase the overall resilience of the ecosystem to climate change."""
80,He'ia National Estuarine Research Reserve (Moku-o-loe Island - Coconut Island),Climate,Discusses role of area as carbon sink,"""Methane emissions from the He‘eia wetlands could exacerbate climate change impacts—wetlands are a natural source of methane, which is a greenhouse gas (Mitsch et al. 2013). However, tropical wetlands are predicted to function as a net carbon and radiative sink within the next 300 years and balance out the methane emissions (Mitsch et al. 2013). The He‘eia wetlands may also provide a natural flood buffer that accommodates sea-level rise without the need for additional hard armoring or other measures to protect upstream urban development (Codiga and Wager 2011). Therefore, the He‘eia wetlands may increase the overall resilience of the ecosystem to climate change."""
80,He'ia National Estuarine Research Reserve (Moku-o-loe Island - Coconut Island),Objectives,Objectives explicitly connected to climate change,"Goals to increase understanding of effects of human activities and natural events to improve informed decision-making. Objectives include using baseline data to inform magnitude of change, integrate traditional knowledge and contemporary sience to address climate change, habitat restoration, water quality. Specifics from the 2011-2016 Reserve System Strategic Plan: a) Expand capacity to monitor changes in water quality and quantity, habitat, and biological indicators in response to land use and climate change drivers b) Improve understanding of the effects of climate change and coastal pollution on estuarine and coastal ecology, ecosystem processes, and habitat function, c) Characterize coastal watersheds and estuary ecosystems and quantify ecosystem services to support ecosystem-based management of natural and built communities, d) Increase social science research and use of social information to foster coastal stewards that value and protect estuaries."
80,He'ia National Estuarine Research Reserve (Moku-o-loe Island - Coconut Island),Objectives,General climate change adaptation,"""ORMP
aims to build capacity for
community participation in
resource management
through education and outreach. Climate change
adaptation is included."""
80,He'ia National Estuarine Research Reserve (Moku-o-loe Island - Coconut Island),Objectives,Enhance overall system resilience to climate change,"""Water quality in these water bodies is important, because
it affects the health of fish and coral populations in the bay, the quality of drinking water on land, and the
resilience of natural water systems in the face of climate change."""
80,He'ia National Estuarine Research Reserve (Moku-o-loe Island - Coconut Island),Objectives,Reduce emissions; green operations,"Considering potential climate change impacts and green/sustainable building practices for the NERR He'eia Visitor Center (planning process) - site selection incorporating sea level rise and storm surge hazards related to climate change, choosing some of the highest grounds as potential site."
80,He'ia National Estuarine Research Reserve (Moku-o-loe Island - Coconut Island),Objectives,Improve climate change awareness/education,"Education programs to educate students and visitors; invasive species, effects of erosion, nonpoint source pollution, removal of plants/animals, climate change, and the nexus of human activities and traditional agriculture and the natural ecosystem."
80,He'ia National Estuarine Research Reserve (Moku-o-loe Island - Coconut Island),Design,Design principles applied with explicit climate change context,"Yes - ""The buffer areas provide an opportunity to accommodate future shifts in the core area as a result of successful restoration or climate impacts."""
80,He'ia National Estuarine Research Reserve (Moku-o-loe Island - Coconut Island),Design,Protecting shifting distributions,"Yes - ""The buffer areas provide an opportunity to accommodate future shifts in the core area as a result of successful restoration or climate impacts."""
80,He'ia National Estuarine Research Reserve (Moku-o-loe Island - Coconut Island),Management,Reduction of other threats linked to climate resilience,"""Through an adaptively
managed program, the Science Collaborative funds collaborative research and science transfer programs
and projects that develop and apply science-based tools to better understand how to detect, prevent, and
reverse the impacts of coastal pollution, habitat degradation and ecosystem processes in a time of climate
change."""
80,He'ia National Estuarine Research Reserve (Moku-o-loe Island - Coconut Island),Management,Applied as climate strategy,"Possibly?- ""The resilience of the reefs to invasive algae is an important component of Kāne‘ohe Bay’s general health,
and may help to inform climate change research regarding the spread of invasive species as conditions
change in the bay and in other areas across the Hawaiian Islands."""
80,He'ia National Estuarine Research Reserve (Moku-o-loe Island - Coconut Island),Management,Strategy applied specifically for climate change,"Restoring key areas to improve habitat and increase ecosystem services; specific strategy to incorporate climate change impacts and vulnerabilities into land acquisition and haitat restoration projects/plans. Upland forest (""As the upland areas are to be restored with mainly native tree species, this may contribute to supporting a more resilient habitat for native and endemic fauna and flora. Given the potential for increased intensity and frequency of storms under climate change scenarios, a predominantly native forest is expected to capture rain and decrease the runoff that now occurs in the area that is overgrown with California grass and other invasive species""), removal of mangroves and replacement with native esturaine species (""The re-establishment of native estuarine plants to replace the invasive mangroves may contribute to increased resilience of the estuary to climate change impacts through enhanced flood protection and shoreline stabilization. The restored estuary is also expected to enhance habitat for native aquatic species such as fish, algae and native sea turtles""), restoring the stream and adjacent buffer, coral reef restoration and monitoring (including removing invasive algae)"
82,French Southern Territories,Climate,Discusses protection as climate mitigation strategy,Protection of high productivity areas which serve as carbon sinks; assist in climate mitigation
82,French Southern Territories,Climate,Discusses role of area as carbon sink,Protection of high productivity areas which serve as carbon sinks; assist in climate mitigation
82,French Southern Territories,Climate,Discuss limitations with respect to adaptation and/or mitigation,"Several categories of attacks threatening the biodiversity and certain habitats of the national nature reserve of
the French Southern Territories have so far been clearly identified and justify the existence of this reserve. If
some are due to external factors that can only be dealt with on a planetary scale (climate change, atmospheric
pollutants, UV-A and -B linked to the depression of stratospheric ozone at the edge of the Antarctic continent, etc.), others are of local origin and generally linked to past and/or present
human activities"
82,French Southern Territories,Objectives,Objectives explicitly connected to climate change,"Goal of understanding and adapting to global change, developing climate change adaptation plan"
82,French Southern Territories,Objectives,Promote climate change research (or increase cc knowledge),"Partnerships for climate change vulnerability assessments; projects examining species potential for adaptation to climate change; REPCCOAI program (Responses of the Pelagic Ecosystem to Climate Change Southern Indian Ocean) study geographical distribution of plankton and pelagic fish, resilience of krill species to increased temperatures (aim to predict influence of future global warming and adaptation strategies of affected species)"
82,French Southern Territories,Objectives,Reduce emissions; green operations,"Limit energy consumption and move towards the use
of renewable energies - for base operations"
82,French Southern Territories,Assessment,Conducted climate change vulnerability assessment,"Partnership with university - project assessing sensitivity and vulnerabiltiy of organisms and ecosystems to climate change and biological invasions (plants, insects)"
82,French Southern Territories,Design,Design principles applied with explicit climate change context,"Yes - Incorporate high producitivty areas (carbon sinks) and notes that the perimeter ""guarantees representativeness"" of the oceanic pelagic conditions with respect to climate changes"
82,French Southern Territories,Design,Consider projected impacts or changes,"Yes - Incorporate high producitivty areas (carbon sinks) and notes that the perimeter ""guarantees representativeness"" of the oceanic pelagic conditions with respect to climate changes"
82,French Southern Territories,Design,Protecting shifting distributions,"Yes - Incorporate high producitivty areas (carbon sinks) and notes that the perimeter ""guarantees representativeness"" of the oceanic pelagic conditions with respect to climate changes"
82,French Southern Territories,Design,Adaptive design applied as a climate change strategy,"Based on the vulnerability diagnosis and the latest scientific results available (including the monitoring of bioclimatic indicators), plan the updating of management measures allowing the adequacy of these actions with the new priority issues (e.g. protection of ecosystems or key or vulnerable functional areas by implementing spatial or seasonal regulations)"
82,French Southern Territories,Management,Reduction of other threats linked to climate resilience,Acknowledges that climate change is a synergistic effect but does not directly say the reduction will improve resilience
82,French Southern Territories,Management,Applied as climate strategy,Assess how climate change will influence invasive species development and impact; efforts to remove non-native species
83,Saint Eustatius Marine Park,Management,Reduction of other threats linked to climate resilience,"In reference to coral reefs: ""identify and protec t areas naturally positioned to survive climate change"""
83,Saint Eustatius Marine Park,Management,Strategy applied specifically for climate change,restore degraded areas that have displayed resilience to climate shifts
85,Caye Caulker Marine Reserve,Design,Design principles applied with explicit climate change context,"Protect high-risk shallow reef habitat; areas in ""mixed states"" of recovery"
86,Gladden Spit and Silk Cayes,Objectives,Objectives explicitly connected to climate change,"Explicit management goal and strategies - identify resilient coral species, recruitment sources, ensure herbivore protection, reduce cumulative anthropogenic local threats, monitor climate change effects."
86,Gladden Spit and Silk Cayes,Objectives,Enhance overall system resilience to climate change,Continue to implement adaptive management strategies which focus on identifying and maintaining resilient ecosystems
86,Gladden Spit and Silk Cayes,Objectives,Improve climate change awareness/education,Engage landowners in climate change adaptation strategies – including shoreline protection through conservation/replanting of mangroves. Engage and educate visitors about climate change impacts; Collaborate with partners in lobbying for passing revised mangrove legislation; Establish a policy framework and identify a funding mechanisms specific to implement climate change adaptation strategies
86,Gladden Spit and Silk Cayes,Assessment,Conducted climate change vulnerability assessment,"General assessment of the status of features with respect to various other threats, and a specific ""site reilience assessment"" with respect to climate change; Sea level rise, SST rise, increased storm frequency, ocean acidification, decreased precipitation, air temperature changes"
86,Gladden Spit and Silk Cayes,Design,Design principles applied with explicit climate change context,"Recommendations to expand conservation zone (to assist in mitigating climate impacts) and incorporate high resilience reef areas. Review and re-evaluate zoning and boundaries throughout the Southern Belize Reef Complex. Identify and increase protection of resilient reefs, source populations and key larval dispersal routes. Investigate potential for designating Marine Preservation Zones in identified high resilience areas, in response to climate change research outputs."
86,Gladden Spit and Silk Cayes,Design,Protect resilient areas,High resilience reef areas
86,Gladden Spit and Silk Cayes,Design,Protect critical species or habitats (for cc),Source populations
86,Gladden Spit and Silk Cayes,Design,Increase connectivity (for cc),Key larval dispersal routes
86,Gladden Spit and Silk Cayes,Design,Adaptive design applied as a climate change strategy,"Recommendations to expand conservation zone (to assist in mitigating climate impacts) and incorporate high resilience reef areas. Review and re-evaluate zoning and boundaries throughout the Southern Belize Reef Complex. Identify and increase protection of resilient reefs, source populations and key larval dispersal routes."
86,Gladden Spit and Silk Cayes,Management,Reduction of other threats linked to climate resilience,Explicit climate change management goal and strategies - reduce cumulative anthropogenic local threats
86,Gladden Spit and Silk Cayes,Management,Reducing tourism pressure applied as climate strategy,"Minimize tourism impacts on reefs with signs, mooring buoys, designated dive sites. Licensed guide ratio for divers/snorkelers; Increase enforcement and surveillance against fisheries and tourism infractions particularly in hotspot threat and resilient areas; collaborations to identify and implement climate change adaptation strategies for stakeholder communities"
86,Gladden Spit and Silk Cayes,Management,Increasing compliance applied as climate strategy,Increase enforcement and surveillance against fisheries and tourism infractions particularly in hotspot threat and resilient areas; collaborations to identify and implement climate change adaptation strategies for stakeholder communities
86,Gladden Spit and Silk Cayes,Management,Applied as climate strategy,"Bergen: In my notes I had that they were planning to monitor runoff during storm events and agrochemical contamination - can you check if that was explicitly connected to the climate change monitoring, or just general pollution monitoring?"
87,Laughing Bird Caye,Climate,Discusses protection as climate mitigation strategy,"""In 2009, Laughing Bird caye National Park was
chosen as Belize’s first reef restoration site by
‘Fragments of Hope’, a coral restoration programme
seeking a proactive solution to climate change
impacts on corals. The National Park was selected
partially for its ‘no-take’ protection regime,"""
87,Laughing Bird Caye,Climate,Discusses role of area as carbon sink,"""Protected areas in Belize provide irreplaceable public benefits from ecosystem
services such as clean water, clean air, carbon sinks, gene pools, baseline data for
research and development, all of which contribute to the local, national and regional
economies,"""
87,Laughing Bird Caye,Climate,Discuss limitations with respect to adaptation and/or mitigation,"""Limitations / Barriers: Limited
scientific knowledge / experience
of climate change impacts – few
models available for successful
adaptation."""
87,Laughing Bird Caye,Objectives,General climate change adaptation,"""Active participation in national and regional planning for climate change
adaptation"""
87,Laughing Bird Caye,Objectives,Enhance overall system resilience to climate change,"""Laughing Bird Caye National Park encompasses the entire Laughing Bird Faro, with fringing reefs
and a central lagoon dominated by hardy species that can tolerate varying levels of salinity and
turbidity, conditions that may provide greater resilience to climate change,"""
87,Laughing Bird Caye,Objectives,Improve climate change awareness/education,Engage landowners in climate change adaptation strategies – including shoreline protection through conservation/replanting of mangroves. Engage and educate visitors about climate change impacts; Collaborate with partners in lobbying for passing revised mangrove legislation; Establish a policy framework and identify a funding mechanisms specific to implement climate change adaptation strategies
87,Laughing Bird Caye,Assessment,Conducted climate change vulnerability assessment,"General assessment of the status of features with respect to various other threats, and a specific ""site reilience assessment"" with respect to climate change; Sea level rise, SST rise, increased storm frequency, ocean acidification, decreased precipitation, air temperature changes"
87,Laughing Bird Caye,Design,Design principles applied with explicit climate change context,"Protected area has higher temperatures, rapid fluctuations and increased turbidity - leads to a stressful environment that promotes a more genetically robust coral community, and includes an identified resilient site; important recruitment source for other adjacent reef areas as climate change impacts increase. Review and re-evaluate zoning and boundaries throughout the Southern Belize Reef Complex. Identify and increase protection of resilient reefs, source populations and key larval dispersal routes. Investigate potential for designating Marine Preservation Zones in identified high resilience areas, in response to climate change research outputs."
87,Laughing Bird Caye,Design,Protect resilient areas,"Protected area has higher temperatures, rapid fluctuations and increased turbidity - leads to a stressful environment that promotes a more genetically robust coral community, and includes an identified resilient site; important recruitment source for other adjacent reef areas as climate change impacts increase."
87,Laughing Bird Caye,Design,Protect critical species or habitats (for cc),"Protected area has higher temperatures, rapid fluctuations and increased turbidity - leads to a stressful environment that promotes a more genetically robust coral community, and includes an identified resilient site; important recruitment source for other adjacent reef areas as climate change impacts increase."
87,Laughing Bird Caye,Design,Increase connectivity (for cc),"Protected area has higher temperatures, rapid fluctuations and increased turbidity - leads to a stressful environment that promotes a more genetically robust coral community, and includes an identified resilient site; important recruitment source for other adjacent reef areas as climate change impacts increase."
87,Laughing Bird Caye,Design,Adaptive design applied as a climate change strategy,"Recommendations to expand conservation zone (to assist in mitigating climate impacts) and incorporate high resilience reef areas. Review and re-evaluate zoning and boundaries throughout the Southern Belize Reef Complex. Identify and increase protection of resilient reefs, source populations and key larval dispersal routes."
87,Laughing Bird Caye,Management,Reduction of other threats linked to climate resilience,Explicit climate change management goal and strategies - reduce cumulative anthropogenic local threats
87,Laughing Bird Caye,Management,Reducing tourism pressure applied as climate strategy,"Minimize tourism impacts on reefs with signs, mooring buoys, designated dive sites. Licensed guide ratio for divers/snorkelers; Increase enforcement and surveillance against fisheries and tourism infractions particularly in hotspot threat and resilient areas; collaborations to identify and implement climate change adaptation strategies for stakeholder communities"
87,Laughing Bird Caye,Management,Increasing compliance applied as climate strategy,Increase enforcement and surveillance against fisheries and tourism infractions particularly in hotspot threat and resilient areas; collaborations to identify and implement climate change adaptation strategies for stakeholder communities
87,Laughing Bird Caye,Management,Strategy applied specifically for climate change,"Coral reef restoration project specifically as proactive solution for climate change - ideal conditions with daily temp fluctuations and increased turbidity, focused on endangered reef-building and fast-growing Acroporidae and eight other slow-growing species; 2000 fragments planted by 2010 and plans to double annually."
88,Sapodilla Cayes Marine Reserve,Climate,Discusses protection as climate mitigation strategy,"In reference to strategies for climate change: ""Strengthen coastal protection through participation in and support of coastal
zone development planning for southern Belize"""
88,Sapodilla Cayes Marine Reserve,Climate,Discusses role of area as carbon sink,"""Protected areas in Belize provide irreplaceable public benefits from ecosystem
services such as clean water, clean air, carbon sinks, gene pools, baseline data for
research and development, all of which contribute to the local, national and regional
economies,"""
88,Sapodilla Cayes Marine Reserve,Climate,Discuss limitations with respect to adaptation and/or mitigation,"""Limitations / Barriers: Limited
scientific knowledge / experience
of climate change impacts – few
models available for successful
adaptation."""
88,Sapodilla Cayes Marine Reserve,Objectives,Objectives explicitly connected to climate change,"For climate change, there is an explicit management goal and strategies - identify resilient coral species, recruitment sources, ensure herbivore protection, reduce cumulative anthropogenic local threats, monitor climate change effects, and characterize water currents critical for recruitment of coral/fish. ""By 2015 at least 50% of coral reefs and mangroves resilient to climate change located within the SBRC will be effectively protected."""
88,Sapodilla Cayes Marine Reserve,Objectives,General climate change adaptation,"""Managing for Climate Change is a fundamental necessity in this ever changing environment."""
88,Sapodilla Cayes Marine Reserve,Objectives,Enhance overall system resilience to climate change,"""These efforts are
providing information on a number of topics, including coral reef ecology, fisheries
management and resilience to impacts such as climate change and the associated coral
bleaching."""
88,Sapodilla Cayes Marine Reserve,Objectives,Improve climate change awareness/education,Engage landowners in climate change adaptation strategies – including shoreline protection through conservation/replanting of mangroves. Engage and educate visitors about climate change impacts; Collaborate with partners in lobbying for passing revised mangrove legislation; Establish a policy framework and identify a funding mechanisms specific to implement climate change adaptation strategies
88,Sapodilla Cayes Marine Reserve,Assessment,Conducted climate change vulnerability assessment,"General assessment of the status of features with respect to various other threats, and a specific ""site reilience assessment"" with respect to climate change; Sea level rise, SST rise, increased storm frequency, ocean acidification, decreased precipitation, air temperature changes"
88,Sapodilla Cayes Marine Reserve,Design,Design principles applied with explicit climate change context,"Review and re-evaluate zoning and boundaries throughout the Southern Belize Reef Complex. Identify and increase protection of resilient reefs, source populations and key larval dispersal routes. Investigate potential for designating Marine Preservation Zones in identified high resilience areas, in response to climate change research outputs."
88,Sapodilla Cayes Marine Reserve,Design,Protect resilient areas,High resilience reef areas
88,Sapodilla Cayes Marine Reserve,Design,Protect critical species or habitats (for cc),Source populations
88,Sapodilla Cayes Marine Reserve,Design,Increase connectivity (for cc),Key larval dispersal routes
88,Sapodilla Cayes Marine Reserve,Design,Adaptive design applied as a climate change strategy,"Recommendations to expand conservation zone (to assist in mitigating climate impacts) and incorporate high resilience reef areas. Review and re-evaluate zoning and boundaries throughout the Southern Belize Reef Complex. Identify and increase protection of resilient reefs, source populations and key larval dispersal routes."
88,Sapodilla Cayes Marine Reserve,Management,Reduction of other threats linked to climate resilience,Explicit climate change management goal and strategies - reduce cumulative anthropogenic local threats
88,Sapodilla Cayes Marine Reserve,Management,Reducing tourism pressure applied as climate strategy,"Minimize tourism impacts on reefs with signs, mooring buoys, designated dive sites. Licensed guide ratio for divers/snorkelers; Increase enforcement and surveillance against fisheries and tourism infractions particularly in hotspot threat and resilient areas; collaborations to identify and implement climate change adaptation strategies for stakeholder communities"
88,Sapodilla Cayes Marine Reserve,Management,Increasing compliance applied as climate strategy,Increase enforcement and surveillance against fisheries and tourism infractions particularly in hotspot threat and resilient areas; collaborations to identify and implement climate change adaptation strategies for stakeholder communities
89,South Water Caye Marine Reserve,Climate,Discusses protection as climate mitigation strategy,"""By 2015 at least 50% of coral
reefs and mangroves resilient to
climate change located within
the SBRC will be effectively
protected."""
89,South Water Caye Marine Reserve,Climate,Discuss limitations with respect to adaptation and/or mitigation,"he impacts of climate change, and the associated increasing water temperatures, resulting in coral bleaching and coral mortality, are related to more global issues, though zoning for protection should reflect coral resilience."
89,South Water Caye Marine Reserve,Objectives,Objectives explicitly connected to climate change,"For climate change: ""By 2015 at least 50% of coral reefs and mangroves resilient to climate change located within the SBRC will be effectively protected."""
89,South Water Caye Marine Reserve,Objectives,Enhance overall system resilience to climate change,"""Reducing chronic stress through local coral reef
management efforts may therefore increase coral resilience to global climate change,
providing an opportunity for the coral to recover between bleaching events."""
89,South Water Caye Marine Reserve,Design,Design principles applied with explicit climate change context,"Review and re-evaluate zoning and boundaries throughout the Southern Belize Reef Complex. Identify and increase protection of resilient reefs, source populations and key larval dispersal routes. Investigate potential for designating Marine Preservation Zones in identified high resilience areas, in response to climate change research outputs."
89,South Water Caye Marine Reserve,Design,Protect resilient areas,High resilience reef areas
89,South Water Caye Marine Reserve,Design,Protect critical species or habitats (for cc),Source populations
89,South Water Caye Marine Reserve,Design,Increase connectivity (for cc),Key larval dispersal routes
89,South Water Caye Marine Reserve,Design,Adaptive design applied as a climate change strategy,"Recommendations to expand conservation zone (to assist in mitigating climate impacts) and incorporate high resilience reef areas. Review and re-evaluate zoning and boundaries throughout the Southern Belize Reef Complex. Identify and increase protection of resilient reefs, source populations and key larval dispersal routes."
89,South Water Caye Marine Reserve,Management,Reduction of other threats linked to climate resilience,"""Reducing chronic stress through local coral reef
management efforts may therefore increase coral resilience to global climate change,
providing an opportunity for the coral to recover between bleaching events."""
89,South Water Caye Marine Reserve,Management,Strategy applied specifically for climate change,"""By 2015 at least 50% of coral
reefs and mangroves resilient to
climate change located within the
SBRC will be effectively protected."""
90,Glover's Reef Marine Reserve,Climate,Discuss limitations with respect to adaptation and/or mitigation,"""Indirect Threat
Weak enforcement and
management; lack of
adaptive management"""
91,Halfmoon Caye and Blue Hole Natural Monuments,Assessment,Conducted climate change vulnerability assessment,Strategy to partner with institution for vulnerability
92,Hol Chan Marine Reserve,Objectives,Monitoring climate effects and/or indicators,"Monitor sea level rise using the Caribbean Planning Adaptation for
Climatic Change Methodologies."
95,Flamborough Head,Climate,Discuss limitations with respect to adaptation and/or mitigation,"These two factors, climate change and international commercial fisheries, are not within the powers of the Relevant Authorities to manage. The North Sea ecosystem is complex, therefore it is not known how these, and other, factors interact or what relationships (direct or otherwise) may affect the seabird populations"
95,Flamborough Head,Objectives,Objectives explicitly connected to climate change,"Notes aiming to ""reduce other stressors"" to reduce cumulative impacts of climate change; does not provide specifics"
95,Flamborough Head,Objectives,General climate change adaptation,The Relevant Authorities should work together with key partners to ensure that management measures consider the impacts of climate change and act to reduce additional pressures wherever possible.
95,Flamborough Head,Management,Reduction of other threats linked to climate resilience,"Notes aiming to ""reduce other stressors"" to reduce cumulative impacts of climate change; does not provide spec; The Relevant Authorities should work together with key
partners to ensure that management measures consider the impacts of climate change and act to
reduce additional pressures wherever possible."
96,Lundy Marine Area,Objectives,Objectives explicitly connected to climate change,"Monitor habitats/species, especially changes caused by climate change"
96,Lundy Marine Area,Objectives,Monitoring climate effects and/or indicators,"Monitor habitats/species, especially changes caused by climate change"
96,Lundy Marine Area,Objectives,Promote climate change research (or increase cc knowledge),"""Investigate potential changes to subtidal fauna and flora which may be expected under current
climate change predictions."""
96,Lundy Marine Area,Objectives,Improve climate change awareness/education,"""Use the story of the kittiwake’s decline to raise awareness of the impacts of climate change on
marine food chains and seabird populations"""
96,Lundy Marine Area,Management,Applied as climate strategy,Investigate potential changes to subtidal fauna and flora which may be expected under current climate change predictions.
102,Reserva Biológica Atol Das Rocas,Objectives,Monitoring climate effects and/or indicators,"""The importance of Atol das Rocas in the global context, whether in the maintenance of biodiversity,
endemism, protection of endangered species, as well as a possible instrument for monitoring global
climate change,"""
105,South Georgia and South Sandwich Islands Marine Protected Area,Objectives,Objectives explicitly connected to climate change,"""Increase the resilience of the marine environment to the effects of climate change"""
105,South Georgia and South Sandwich Islands Marine Protected Area,Objectives,Enhance overall system resilience to climate change,"""Increase the resilience of the marine environment to the effects of climate change"""
106,Jamaica's Protected Area System,Climate,Discusses protection as climate mitigation strategy,"""Protected areas can contribute to facing the challenges of biodiversity loss, water
shortages, food insecurity and rapid climate change."""
106,Jamaica's Protected Area System,Climate,Discusses role of area as carbon sink,"""Many protected areas also provide social and economic benefits, supporting livelihoods for
millions of people, safeguarding crucial services such as fresh water, food and carbon storage as well as
mitigation of natural disasters."""
106,Jamaica's Protected Area System,Climate,Discuss limitations with respect to adaptation and/or mitigation,"""Also 44 of the 55 terrestrial targets fail to meet the adaptive goals that were established, suggesting that
most of the terrestrial targets may be highly vulnerable to existing threats and lack of connectivity."""
106,Jamaica's Protected Area System,Climate,Comprehensive climate change action plan (e.g. separate plan or specific detailed section with multiple objectives and actions),Planned
106,Jamaica's Protected Area System,Objectives,Objectives explicitly connected to climate change,"Incorporate climate mitigation into management strategies; restore and rehabilitate habitats and ecosystems to conribute to buldling ecological networks, corridors, buffers"
106,Jamaica's Protected Area System,Objectives,General climate change adaptation,To identify and integrate climate change adaptation and mitigation measures in protected area planning and management strategies.
106,Jamaica's Protected Area System,Objectives,Maintain function/biodiversity in climate change,"""Goal 4: To identify and integrate climate change adaptation and mitigation measures in protected area
planning and management strategies."""
106,Jamaica's Protected Area System,Objectives,Enhance overall system resilience to climate change,"""Jamaica has recognised the critical role that these areas have to play in national and local mitigation and
adaptation strategies to build resilience to climate change."""
106,Jamaica's Protected Area System,Objectives,Monitoring climate effects and/or indicators,"monitoring ""Number of management
plans that incorporate
biodiversity conservation
targets, socio-economic
and cultural factors, and
climate change
adaptation measures."""
106,Jamaica's Protected Area System,Design,Adaptive design applied as a climate change strategy,Plans to integrate climate change into the protected area network as it is developed
107,Malindi Marine Protected Area,Climate,Discusses protection as climate mitigation strategy,"""In addition, climate change has increased
the vulnerability of mangroves to degradation and other natural calamities, including pests and diseases. Encroachment
and conversion of mangrove areas to other land- uses and over-exploitation has also led to loss and degradation of
mangrove ecosystem. To address these challenges Sabaki River estuary, including degraded sites, will be mapped and
rehabilitation plans developed and implemented in collaboration with relevant stakeholders."""
107,Malindi Marine Protected Area,Climate,Comprehensive climate change action plan (e.g. separate plan or specific detailed section with multiple objectives and actions),Planned
107,Malindi Marine Protected Area,Objectives,Objectives explicitly connected to climate change,"Notes choosing seagrasses because they are highly resilient, carbon sinks (relevant to climate change)"
107,Malindi Marine Protected Area,Objectives,General climate change adaptation,"""In action, it is recommended that the management of MMPA should continue to monitor and evaluate the impact of climate change and develop potential mitigation and adaptation measures."""
107,Malindi Marine Protected Area,Objectives,Monitoring climate effects and/or indicators,"""it is recommended that the management of MMPA should
continue to monitor and evaluate the impact of climate change and develop potential mitigation and adaptation
measures."""
107,Malindi Marine Protected Area,Objectives,Promote climate change research (or increase cc knowledge),research climate change
107,Malindi Marine Protected Area,Assessment,Conducted climate change vulnerability assessment,Action to conduct a review of existing information and research on climate change to examine how potential impacts could affect the area (but does not call it a VA)
107,Malindi Marine Protected Area,Management,Reducing tourism pressure applied as climate strategy,"Evaluate options for installing artificial reefs to reduce pressure on damaged coral reef areas, especially considering impacts of climate change"
107,Malindi Marine Protected Area,Management,Strategy applied specifically for climate change,"Developing plans for restoration programs in degraded areas - mangroves, coral reef (potential transplant programs); Evaluate options for installing artificial reefs to reduce pressure on damaged coral reef areas, especially considering impacts of climate change"
108,Watamu Marine Protected Area,Objectives,Objectives explicitly connected to climate change,"Notes choosing seagrasses because they are highly resilient, carbon sinks (relevant to climate change)"
108,Watamu Marine Protected Area,Objectives,General climate change adaptation,"""At the same time, it’s recommended that the management
of WMPA should continue to monitor and evaluate

the impact of climate change and determine poten-
tial mitigation and adaptation measure as well as

monitoring recovery of degraded sea grass areas."""
108,Watamu Marine Protected Area,Objectives,Monitoring climate effects and/or indicators,"""it’s recommended that the management
of WMPA should continue to monitor and evaluate

the impact of climate change and determine poten-
tial mitigation and adaptation measure as well as

monitoring recovery of degraded sea grass areas."""
108,Watamu Marine Protected Area,Objectives,Promote climate change research (or increase cc knowledge),"""research on issues of climate change in relation to corals and sea-
grass beds,"""
108,Watamu Marine Protected Area,Assessment,Conducted climate change vulnerability assessment,Action to conduct a review of existing information and research on climate change to examine how potential impacts could affect the area (but does not call it a VA)
108,Watamu Marine Protected Area,Management,Reducing tourism pressure applied as climate strategy,"Evaluate options for installing artificial reefs to reduce pressure on damaged coral reef areas, especially considering impacts of climate change"
108,Watamu Marine Protected Area,Management,Strategy applied specifically for climate change,"Protect corals with artificial reefs and transplanting in degraded areas; Evaluate options for installing artificial reefs to reduce pressure on damaged coral reef areas, especially considering impacts of climate change"
109,Bazaruto Marine Protected Area,Climate,Discuss limitations with respect to adaptation and/or mitigation,""" Currently, the Park
 works at a deficit of approximately 300 USD/Km2 and many landscapes and habitats
 important natural resources are being degraded without any mitigation effort, due to lack of of appropriate resources."""
109,Bazaruto Marine Protected Area,Objectives,General climate change adaptation,Monitor status of conservation features with regards to defined limits of acceptable ecological change (planned)
